a	art.一(个) 每
brake	n.蕨菜 闸 刹车 制动器 vt. & vi.制动 煞车 压榨
branch	n.分支 树枝 分部 分科 vt & vi.分支 分岔
brand	n.燃烧的木条 剑 商品 商标 牌子 烙印 类型 vt.铭刻 打烙印污蔑
brandy	n.白兰地酒 vt.以白兰地酒调制
brass	n.黄铜(制品) 黄铜器 铜管(乐器) adj.黄铜的
brave	adj.勇敢的 华丽的 缤纷的 vt.勇敢地面对(危险等) 抵抗 n.勇敢的人
Brazil	n.巴西
Brazilian	n.巴西人 adj.巴西的
bread	n.面包 食物 粮食 生计 vt.撒面包屑
breadth	n.宽度 幅度 幅面
break	n.休息 中断 破裂 vt.打破 损坏 弄破 弄坏 破坏
breakfast	n.早饭 早餐 vt.吃早餐 vi.提供早餐
breast	n.乳房 胸脯 胸膛 vt.面对 以胸对着
breath	n.气息 呼吸 气味 微风 迹象 精神 一种说话的声音
breathe	vi.呼吸 vt.呼吸 轻声说 流露感情 注入
breed	n.品种 族类 vt.使繁殖 养育 繁殖 引起 vi.繁殖
breeze	n.微风 和风 轻而易举的事 vi.飘然而行 轻松地得胜或进步
brick	n.砖 砖块 砖状物 积木 可靠的朋友 vt.(up)用砖砌补 用砖堵住
bridge	n.桥 桥梁 桥牌 鼻梁 vt.渡过 架桥
brief	n.摘要 简报 adj.简短的 简洁的 短暂的 vt.作简报 简单讨论
bright	adj.明亮的 阳光的 生动的 聪明的 adv.亮 n.亮色
brighten	vt.使发光 使快活 使变亮 使生辉 vi.发光 发亮

单词	释义
brilliant	adj.光辉的 卓越的 灿烂的 有才气的 杰出的 n.宝石
brim	n.边 边缘 帽沿 v.(装)满 (使)溢出
bring	vt.带来 引出 促使 劝诱 vi.产生
brisk	adj.活泼的 活跃的 快的 清新的 敏锐的 凛冽的
bristle	n.短而硬的毛 鬃毛
Britain	n.不列颠 英国
British	adj.不列颠的 英国的 英联邦的 n.英国人 英国英语
brittle	adj.脆的 易损坏的 易碎的
broad	adj.宽广的 阔的 广泛的 清楚无误的 明显的 粗俗的 adv.完全地 n.(复）河流的延伸
broadcast	n.广播 广播节目 播音 adj.广播的 vt. & vi.广播 adv.经广播 四散地
broken	adj.被打碎的 骨折的 坏掉的 坏掉的 v.打破 弄坏(break的过去分词)
bronze	adj.青铜色的 n.青铜 青铜制品 青铜色 铜牌(第三名) vt.使成青铜色
brood	n.窝 同窝幼鸟 vt.孵(蛋) 沉思
brook	n.小河 溪流 vt.(常用于否定句或疑问句)容忍 忍受
broom	n.扫帚 灌木 vt.扫
brother	n.兄弟 同事 同胞 教友
brow	n.额 眉 眉毛
brown	(姓)布朗 adj.褐色的 棕色的 n.褐色 棕色
bruise	n.青肿 伤痕 擦伤 瘀青 挫伤 vi.受伤 擦伤 vt.使挫伤
brush	n.刷子 毛刷 画笔 轻擦 小冲突 灌木丛 vt.用刷子清洗 画 拭去 打发 vi.轻擦 拂拭
brute	n.禽兽 畜生 畜生 残忍的人 adj.残忍的 无理性的 粗暴的
bubble	n.泡 泡沫 气泡 幻想 骗局 欢乐 vi.冒泡 沸腾 起泡 出现 洋溢 vt.使冒泡
bucket	n.水桶 吊桶 铲斗 vt.装在桶里 vi.急急忙忙
buckle	n.皮带扣 vt. & vi.扣住 弯曲 专心做事 屈服 adj.带扣 弯曲的
bud	n.芽 萌芽 蓓蕾 vi.发芽 萌芽 vt.使发芽
build	vt. & vi.建筑 建立 创立 建造 创建 开发 逐渐增强 n.体格身材
building	n.建筑物 大楼 建筑
bulb	n.电灯泡 球状物
bulk	n.物体 容积 大批 大部分 大多数 大块 大批 容积 体积 vi.变大 增加 vt.膨胀 出现 adj.大量的
bull	adj.大型的 公牛的 雄性的 n. 公牛 雄的象 买空着 像牛的东西 斗牛犬 教宗训谕 法令 vi. 猛冲 vt.暴力 强制
bullet	n.枪弹 子弹 弹丸
bunch	n.束 球 串 一群 一组 凸起 大量 vi.凸起 使成一束(或一群等) vt.使成一束
bundle	n.捆 包 束 包袱 一批 一大笔钱 vt.捆 匆匆送走 附赠 vi.匆忙
burden	n.担子 负担 重担 装载量 v.使负重 装载 烦扰
bureau	n.局 司 处 社 所 办公处
burn	vt. & vi.烧 燃烧 烧着 烧毁 灼伤 n.烧伤 灼伤
burst	n.破裂 阵 爆发 vt. & vi.爆裂 突发

单词	释义
bury	vt.埋葬 葬 埋藏
bus	n.公共汽车
bush	n.灌木 灌木丛 矮树 荒野 狐狸尾巴 vt. 用灌木保护或支撑加衬套于 vi.成灌木形 丛生 adj.长得低矮的 二流的
business	n.商业 生意 事务
busy	adj.忙的 繁忙的 杂乱的 vt.使忙于 vi.忙
but	adv.仅仅 只 conj.但是 可是 prep.除...以外 pron.只有
butcher	n.屠夫 屠杀者 刽子手 肉商 小贩 vt.屠宰 滥杀 将某事弄得一团糟
butter	n.黄油 阿谀奉承 vt.涂黄油
butterfly	n.蝴蝶 蝶状物 蝶泳 vt.(烹饪时把鱼肉等)切开摊平
button	n.扣子 按钮 像纽扣的东西 未成熟的蘑菇 按钮 vt.扣紧 用纽扣装饰 钉纽扣 闭嘴 vi.扣上
buy	n.合理的价格 购买 vt.买 购买 换得 收买 接受 vi.购买
by	prep.在...旁 被 由 经由 在...之前 根据 adv.靠近 经过 放在一旁地 adj.在旁边的 附带的 n.次要的事件
cabbage	n.洋白菜 卷心菜 vt.偷窃
cabin	n.小木屋 船舱 机舱 vt.抑制 vi.住在小屋
cabinet	n.橱 柜 内阁 adj.私人的
cable	n.缆 索 电缆 海底电报 vt.打海底电报 把...拧成缆 用缆捆住 vi.打海底电报
cafe	n.咖啡馆 小餐厅
cafeteria	n.自助食堂 adj.有多种选择的
cage	n.笼 鸟笼 囚笼 监狱 笼状结构 vt.关入笼中
cake	n.饼 糕 蛋糕 块状物 小菜一碟(容易做成的事) vt.涂厚厚的一层 覆盖 填满 vi.结成块
calculate	vt.计算 估计 考虑 推测 计划 vi.计算 预测 依赖
calculation	n.计算 计算结果
calculator	n.计算器 计算者
calendar	n.日历 月历 日程表 历书 历法 vt.进入日历
call	n.呼叫 访问 打电话 请求 把…看作 vt.把...叫做 叫 喊 呼叫 访问 打电话 vi.(短暂的)拜访 呼叫
calm	n.平稳 风平浪静 adj.静的 平静的 冷静的 vt. & vi.平静下来 镇静
camel	n.骆驼 浮船箱 浅黄棕色
camera	n.照相机 摄影机 罗马教廷的财政部
camp	n.野营 营地 兵营 露营 帐棚 训练营 做作 vt. & vi.露营 扎营 做作 adj.做作的
campaign	n.战役 运动 活动 vt.参加竞赛 vi.(从事、组织)活动
campus	n.校园 学校场地
can	aux.v.能 会 可能 n.罐头 听头 容器 vt.罐装 vt.炒某人鱿鱼
Canada	n.加拿大
Canadian	adj.加拿大的 加拿大人的 n.加拿大人
canal	n.运河 沟渠 管 气管 食管 vt.建运河 疏导
cancel	n.取消 撤消 vt.取消 撤消 删去 约分 vi.抵消
cancer	n.癌 癌症 肿瘤 巨蟹座
candidate	n.候选人 投考者 求职者
candle	n.蜡烛 烛形物 烛光

单词	释义
candy	n.糖果 砂糖结晶 vt.用糖煮 使结晶为砂糖 vi.结晶为砂糖
cannon	n.大炮 火炮 榴弹炮 v.开炮
canoe	n.独木舟 皮艇 划子 轻舟 v.乘独木舟
canon	n. 教会法规 标准、准则 正典 正式名单 教堂里的教士 佳能(财富500强公司之一 总部所在地日本 主要经营办公设备)
canteen	n.小卖部 临时餐室 食堂
canvas	n.粗帆布 一块油画布 (帆布)画布 油画
cap	n.帽子 便帽 帽状物 盖子 顶 vt.给戴帽 覆盖顶端 超过 形成化学键于 抑制 vi.形成化学键
capable	adj.有能力的 有才能的 足以胜任的 有...倾向的
capacity	n.容量 能力 能量 容积 资格 职位 adj.(达到最大容量)满的
capital	n.资本 资金 首都 大写字母 adj.大写的 资本的 首要的
captain	n.陆军上尉 队长 船长 首领 vt.率领 指挥
captive	n.俘虏 被监禁的人 迷恋者 adj.被俘的 被迷住的
capture	n.抓取 战利品 捕获之物 vt.捕获 俘获 夺得 抓取 获得 迷住
car	n.汽车 小汽车 轿车 车厢 吊舱
carbon	n.碳 灯芯 复写纸
card	n.卡 卡片 名片 纸牌 打牌 节目单 vt.附上或提供卡片 印卡在卡片上列出 检查资格
care	n.小心 照料 忧虑 慎思 焦虑因素 vi.关心 介意 照顾 喜爱 vt.介意 希望 abbr.=Cooperative for American Remittances to Europe 汇款到欧洲合作社
career	n.生涯 职业 事业 经历 vi.猛冲 飞跑 vt.在...中急行
careful	adj.小心的 仔细的 细致的
careless	adj.粗心的 漫不经心的 疏忽的 n.不关心的 粗心的 [反]attentive
cargo	n.船货 货物
carpenter	n.木工 木匠 v.做木工活
carpet	n.地毯 毡毯 毛毯 vt.铺以地毯 铺盖
carriage	n.客车厢 四轮马车
carrier	n.运输工具 运载工具 运送者 行李架 客运公司 航空母舰 带菌者 电信公司
carrot	n.胡罗卜 报酬 好处
carry	n. 搬运 射程 投射 联运 vt. 负载 承担 携带 运载 运输 传送 传播 表达 带有 容纳 怀孕 延续 推动 赢得 记录 vi. 负载被传达 容许被运输 被通过
cart	n.(二轮或四轮)运货马车 手推车 vt.用马车装载 用手提(笨重物品) 强行带走
carve	vt.刻 雕刻 切开 vi.雕刻 切割
case	n.情况 事实 实情 病例 箱(子) 盒(子) 套 案例 vt.装箱 踩点
cash	n.现金 现款 vt.兑现 付现款 adj.现金的
cassette	n.盒式录音带 盒子 匣子 盒式录音机
cast	n.演员阵容 投掷 vt.投 扔 抛 浇铸
castle	n.城堡 巨大建筑物 vt.置于城堡中 (棋)移动王车易位 vi.(棋)移动王车易位
casual	adj.偶然的 随便的 非正式 漫不经心的
cat	n.猫 猫科 猫皮 邪恶的女人 吊锚机 单帆小船 vt.吊锚 vi.寻找性交伴侣 (CAT)电子计算机横断层扫描

单词	释义
catalog	n. 目录 目录册 大学概况手册 商品型录 vt. 做目录 分类说明 名入列表 vi. 研究(手册或目录) (商品)在型录中明码标价
catch	n.捕捉 陷阱 捕获物 接(球等) 扣栓物 隐患 vt. 捉住 赶上领会 了解 感染 被钩住 击中 察觉 vi. 抓住 燃着
cathedral	n.总教堂 大教堂
cattle	n.牛 牲口 家畜 畜牲(复数)
cause	n.原因 理由 事业 vt.引起 使发生
cave	n.ft洞 洞穴 窑洞 vt.挖空 塌落 屈服 vi.塌落
cease	vi. &vi. &n.停止 终了 停息
ceiling	n.天花板 顶蓬 上限
celebrate	vt.庆祝 歌颂 赞美 vi.庆祝 祝贺 颂扬
cell	n.细胞 小房间 电池 小组 单人牢房 (蜂房的)巢室 手机
cellar	n.地窑 地下室 vt.把...藏入地窑(或酒窑)
cement	n.水泥 胶泥 纽带 接合剂 牙骨质 补牙物 基石 vt.粘结 接合用水泥涂 vi.接合起来
cent	n.分 分币 百(分之)
center	n.中心 中间 主角 中锋 重点 vi.居中 聚焦于... vt.使集中放在中央
centigrade	adj.百分度的 摄氏的
centimetre	n.公分 厘米=centimeter(美）
central	adj.中心的 主要的 基本的 折中的 中枢的 n.电话交流 中央办公室 中心
centre	n.中心 中枢 聚集点 vt.集中 置于中央 关注于 vi.居中
century	n.世纪 一百年 成百的东西
ceremony	n.典礼 仪式 礼节 礼仪
certain	adj.确实的 肯定的 必然的 特定的 pron.某几个 某些
certainly	adv.一定 必定 当然
certainty	n.必然 肯定 确定 确实的事情
certificate	n.证(明)书 证件 执照 vt.批准 认可 发证书给...
chain	n.链 链条 项圈 连锁 束缚 vt.用铁练锁住 束缚 囚禁
chair	n.椅子 主席 席位 讲座 要职 vt.上任 使担任(某事务)的主席主持
chairman	n.主席 议长 会长
chalk	n.白垩 粉笔 v.用粉笔写 记录
challenge	n.挑战 要求 需要 v.向...挑战
chamber	n.会议室 房间 会所 室 腔 vt.装入室中(枪膛) adj.室内演奏的
champion	n.冠军 得胜者 拥护者 勇士 vt.保卫 拥护
chance	n.机会 意外 运气 风险 可能性 vi.偶然发生 vt.偶然发生 冒险
change	n.改变 变化 零钱 vt. & vi.改变
channel	n.海峡 渠道 通道 频道 方法 vt.引导 开导 形成河道 输送
chapter	n.章 回 篇 牧师的例行会议 地方分会
character	n.性格 个性 品质 特性 角色 字符 人物 名誉 地位 adj. [剧](角色)代表某一特性的
characteristic	adj.特有的 典型的 n.特性 特征 特色
charge	4
单词	注音	释义


		
charity	'tʃæriti	n.施舍 慈善事业 慈善 慈善机关(团体) 仁慈 宽厚
charming	'tʃɑ:miŋ	adj迷人的 可爱的
chart	tʃɑ:t	n.图 图表 海图 vt.制成图表
chase	tʃeis	n.追逐 追赶 追求 狩猎 争取 vt.追捕 狩猎
cheap	tʃi:p	adj.廉价的 便宜的 劣质的 品质低的 虚伪的 adv.便宜地
cheat	tʃi:t	n.骗子 欺骗行为 vt.骗取 哄 作弊 vi.行骗 作弊
check	tʃek	vt.检查 制止 阻止 核对 (国际象棋)将军 n.检查 支票 账单制止 阻止物 检验标准 (国际象棋)将军
cheek	tʃi:k	n.面颊 脸蛋 vt.粗鲁地向...讲
cheer	tʃiə	n.愉快 激励 欢呼 vt.欢呼 加油 鼓舞 快活起来 vi.使振奋欢呼
cheerful	'tʃiəfəl	adj.快乐的 愉快的
cheese	tʃi:z	n.乳酪 干酪 要求照相的人说的口形词 vt.停止
chemical	'kemikəl	adj.化学的 n.化学制品
chemist	'kemist	n.化学家 药剂师
chemistry	'kemistri	n.化学 化学性质 相互作用
cheque	tʃek	n.支票
cherry	'tʃeri	n.樱桃 樱桃树 樱桃色
chess	tʃes	n.棋 国际象棋
chest	tʃest	n.胸腔 胸膛 (大)箱子 金库 资金 一箱 密封室：衣橱
chew	tʃu:	vt.咀嚼 嚼碎 损坏 vi.咀嚼 n.咀嚼 咀嚼物
chicken	'tʃikin	n.小鸡 小鸟 鸡肉 胆小 懦夫 adj.懦弱的 胆小的
chief	tʃi:f	adj.主要的 首席的 n.首领
child	tʃaild	n.小孩 儿童 儿子 产物
childhood	'tʃaildhud	n.童年 幼年 早期
childish	'tʃaildiʃ	adj.孩子气的 幼稚的 简单的 年老糊涂的
chill	tʃil	vt. 使变冷 使...寒心 冷冻 使...惊恐 使泄气 vi. 变冷 发抖 凝固 感到寒冷 n. 寒冷 寒意 失意 恐惧 adj. 寒冷的 冷漠的 感冒的 扫兴的
chimney	'tʃimni	n.烟囱 烟筒 玻璃罩
chin	tʃin	n.颏 下巴 vt.做单杠 vi.作引体向上 聊天
China	'tʃainə	n.中国
china	'tʃainə	n.瓷器 瓷料
Chinese	'tʃai'ni:z	adj.中国的 n.中国人 汉语
chocolate	'tʃɔkəlit	n.巧克力 巧克力糖 巧克力饮品 adj.巧克力的 有巧克力糖衣的 巧克力色的
choice	tʃɔis	n.选择 挑选 抉择 adj.上等的 精选的
choke	tʃəuk	vt.(掐住或阻塞气管)使(某人)停止呼吸 塞满 vi.窒息 阻塞 n.窒息 阻风门开关 阻塞
choose	tʃu:z	vt.选择 挑选 情愿 vi.选择
chop	tʃɔp	vt.砍(价) 劈 切(细) 剁碎 vi.砍 n.厚肉片 排骨 砍
Christian	'kristʃən	n.基督教徒 信徒 adj.基督教(徒)的 信奉基督教的 仁慈的
Christmas	'krisməs	n.圣诞节
church	tʃə:tʃ	n.教堂 礼拜堂 礼拜仪式 基督教徒 教会 adj.教堂的 vt.把...带到教堂接受某种宗教仪式
cigarette	.sigə'ret	n.香烟 纸烟 卷烟
cinema	'sinimə	n.电影院 电影 影片
circle	'sə:kl	n.圆 圆周 圈子 社交圈 循环 vt. & vi.包围 盘旋 环绕

单词	注音	释义
circuit	'sə:kit	n.电路 环行 一圈 巡行 巡vt. & vi.巡回
circular	'sə:kjulə	adj.圆的 循环的 n.传单 通报
circulate	'sə:kjuleit	vt.使循环 使流通 vi.流通 循环 传播
circumference	sə'kʌmfərəns	n.圆周 周长 周围 圆周线 胸围
circumstance	'sə:kəmstəns	n.情况 条件 境遇 环境 (复数)境况 事件 详情
citizen	'sitizn	n.公民 市民 居民
city	'siti	n.城市 都市
civil	'sivil	adj.国内的 公民的 文职的 文明的 有礼貌的 民用的
civilization	.sivilai'zeiʃən	n.文明 文化 开化
civilize	'sivilaiz	vt.使文明 教育
claim	kleim	vt.要求 请求 声称 主张 断言 索取 n.要求 要求权 主张 断言 声称 要求物
clap	klæp	vi.拍手 砰的一声 突然离开 vt.拍 轻拍 轻敲 鼓掌 击掌 急速放置 n.拍手 拍手声 一阵强风
clarify	'klærifai	vt.澄清 阐明 使...明晰
clasp	klɑ:sp	n.扣子 钩子 别针 紧握 v.扣紧 紧握 密切合作
class	klɑ:s	n.班 班级 (等)阶级 种类 vt.分类
classical	'klæsikəl	adj.古典的 经典的 典雅的
classification	.klæsifi'keiʃən	n.分类 分级 分类法
classify	'klæsifai	vt.把...分类 分类 归类
classmate	'klɑ:smeit	n.同班同学
classroom	'klɑ:srum	n.教室 课堂
claw	klɔ:	n.爪 钳 脚爪 螯 爪状物 vt. & vi.抓 撕
clay	klei	n.粘土 泥土 肉体
clean	kli:n	adj.清洁的 干净的 纯洁的 正当的 完全的 精准的 空的 adv.完全地 n.清洁 vt. & vi.打扫 清扫
clear	kliə	adj. 清晰的 清楚的 明确的 澄清的 头脑清醒的 vt. 清除 清除障碍 澄清 使明亮 明确 vi. 变清晰 消失 放晴 adv. 清楚地一直 n. 间隙 空地 开旷的地方
clearly	'kliəli	adv.明白地 清晰地 adj.清楚的
clerk	klɑ:k	n.店员 办事员 职员
clever	'klevə	adj.聪明的 机敏的
cliff	klif	n.悬崖 峭壁
climate	'klaimit	n.气候 风土 地带 风气 气氛
climb	klaim	vt. & vi.攀登 爬 上升 n.攀登(处)
cloak	kləuk	n.斗篷 覆盖(物) 宽大外衣 掩护 v.遮掩 隐匿
clock	klɔk	n.钟 时钟 计时器 仪表
close	kləus,kləuz	vt.关闭 结束 靠近 vi. 关 停业 搏斗 n. 完结 结论 adj. 靠近的 亲近的 几乎 密切的 势均力敌的adv. 紧挨着 紧紧地
closely	'kləusli	adv.紧密地 接近地 严密地
cloth	klɔθ	n.布 衣料 桌布
clothe	kləuð	vt.给...穿衣服 穿上 覆上 授以 赋予 表达
clothes	kləuðz	n.衣服 服装 被褥
clothing	'kləuðiŋ	n.(总称)衣服 被褥
cloud	klaud	n.云 云状物 云状的烟 阴影 vt.使…模糊 以云遮敝 笼罩 使…混淆 毁坏 vi.脸色显得阴沉
cloudy	'klaudi	adj.多云的 云一般的

单词	注音	释义
club	klʌb	n.俱乐部 夜总会 击棍 扑克牌中的梅花 vt.用棍棒打 集合vi.集合 分担花费 泡夜总会
clue	klu:	n.线索 暗示 提示 vt.提示
clumsy	'klʌmzi	adj.笨拙的 笨重的 愚笨的 不得体的
coach	kəutʃ	n.长途公共汽车 大巴 教练 (火车)客车车厢 四轮马车 经济舱 vt. & vi.训练 指导
coal	kəul	n.煤 煤块 木炭 运煤工 vt.烧成炭 供应煤 vi.装煤 加煤
coarse	kɔ:s	adj.粗的 粗糙的 非精制的 粗俗的
coast	kəust	n.海岸 海滨(地区) 滑坡 vt.沿海岸而行 vi.下滑
coat	kəut	n.外套 上衣 表皮 动物皮毛 一层 vt.外面覆盖 盖上毛衣
cock	kɔk	n.公鸡 雄禽 旋塞 (男子间友好的互称用语)老兄 阴茎 vt.立起 竖起 vi.昂首阔步地走
code	kəud	n.码 密码 法规 准则 法典 代码 vt.把...编码 制成法典
